対象品目コード,対象品目名,候補品目コード,候補品目名,根拠
PRCG20_1200550039,頭髪用化粧品,PRCG20_1200550037,界面活性剤,洗浄・乳化成分
PRCG20_1200550039,頭髪用化粧品,PRCG20_1200150040,植物油脂（除混合植物油脂）,油性成分
PRCG20_1200550039,頭髪用化粧品,PRCG20_1200550049,香料,賦香成分
PRCG20_1200550039,頭髪用化粧品,PRCG20_1200750017,プラスチック製容器（除中空成形）,容器
PRCG20_1200550040,歯磨,PRCG20_1200550037,界面活性剤,洗浄・乳化成分
PRCG20_1200550040,歯磨,PRCG20_1200150040,植物油脂（除混合植物油脂）,油性成分
PRCG20_1200550040,歯磨,PRCG20_1200550049,香料,賦香成分
PRCG20_1200550040,歯磨,PRCG20_1200750017,プラスチック製容器（除中空成形）,容器
PRCG20_1200550041,電気絶縁塗料,PRCG20_1200550011,キシレン,溶剤原料
PRCG20_1200550041,電気絶縁塗料,PRCG20_1200550003,無機顔料,顔料成分
PRCG20_1200550041,電気絶縁塗料,PRCG20_1200550021,熱硬化性樹脂,塗膜形成樹脂
PRCG20_1200550041,電気絶縁塗料,PRCG20_1200550027,飽和ポリエステル樹脂,塗膜形成樹脂
PRCG20_1200550042,合成樹脂塗料,PRCG20_1200550011,キシレン,溶剤原料
PRCG20_1200550042,合成樹脂塗料,PRCG20_1200550003,無機顔料,顔料成分
PRCG20_1200550042,合成樹脂塗料,PRCG20_1200550021,熱硬化性樹脂,塗膜形成樹脂
PRCG20_1200550042,合成樹脂塗料,PRCG20_1200550027,飽和ポリエステル樹脂,塗膜形成樹脂
PRCG20_1200550043,シンナー,PRCG20_1200550011,キシレン,溶剤原料
PRCG20_1200550043,シンナー,PRCG20_1200550003,無機顔料,顔料成分
PRCG20_1200550043,シンナー,PRCG20_1200550021,熱硬化性樹脂,塗膜形成樹脂
PRCG20_1200550043,シンナー,PRCG20_1200550027,飽和ポリエステル樹脂,塗膜形成樹脂
PRCG20_1200550044,印刷インキ,PRCG20_1200550003,無機顔料,顔料成分
PRCG20_1200550044,印刷インキ,PRCG20_1200550019,合成染料,色材
PRCG20_1200550044,印刷インキ,PRCG20_1200550011,キシレン,溶剤原料
PRCG20_1200550044,印刷インキ,PRCG20_1200550027,飽和ポリエステル樹脂,ビヒクル樹脂
PRCG20_1200550045,農薬,PRCG20_1200550010,ベンゼン,合成原料の芳香族
PRCG20_1200550045,農薬,PRCG20_1200550002,ソーダ工業製品,反応用アルカリ
PRCG20_1200550045,農薬,PRCG20_2600650018,農薬,輸入原体
PRCG20_1200550046,接着剤,PRCG20_1200550007,エチレン,酢ビ系原料
PRCG20_1200550046,接着剤,PRCG20_1200550027,飽和ポリエステル樹脂,ホットメルト原料
PRCG20_1200550046,接着剤,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550047,写真感光材料,PRCG20_1201050005,銀地金,感光材の銀
PRCG20_1200550047,写真感光材料,PRCG20_1200550027,飽和ポリエステル樹脂,フィルムベース原料
PRCG20_1200550047,写真感光材料,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200550048,触媒,PRCG20_1200550002,ソーダ工業製品,基礎化学原料
PRCG20_1200550048,触媒,PRCG20_1200650002,ナフサ,石化系原料
PRCG20_1200550048,触媒,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200550049,香料,PRCG20_1200550002,ソーダ工業製品,基礎化学原料
PRCG20_1200550049,香料,PRCG20_1200650002,ナフサ,石化系原料
PRCG20_1200550049,香料,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200550050,漂白剤,PRCG20_1200550002,ソーダ工業製品,基礎化学原料
PRCG20_1200550050,漂白剤,PRCG20_1200650002,ナフサ,石化系原料
PRCG20_1200550050,漂白剤,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200650001,ガソリン,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650001,ガソリン,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650001,ガソリン,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650002,ナフサ,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650002,ナフサ,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650002,ナフサ,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650003,ジェット燃料油,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650003,ジェット燃料油,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650003,ジェット燃料油,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650004,灯油,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650004,灯油,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650004,灯油,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650005,軽油,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650005,軽油,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650005,軽油,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650006,Ａ重油,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650006,Ａ重油,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650006,Ａ重油,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650007,Ｂ重油・Ｃ重油,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650007,Ｂ重油・Ｃ重油,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650007,Ｂ重油・Ｃ重油,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650008,潤滑油,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650008,潤滑油,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650008,潤滑油,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650009,アスファルト,PRCG20_2600550010,原油,精製の主原料
PRCG20_1200650009,アスファルト,PRCG20_2600550002,ナフサ,輸入製品・原料の価格連動
PRCG20_1200650009,アスファルト,PRCG20_2600550004,灯油,同一留分の国際製品価格連動
PRCG20_1200650010,液化石油ガス,PRCG20_2600550006,液化石油ガス,輸入LPG
PRCG20_1200650010,液化石油ガス,PRCG20_2600550010,原油,精製由来の原料
PRCG20_1200650010,液化石油ガス,PRCG20_1202250001,事業用電力,充填・貯蔵の電力
PRCG20_1200650011,石炭コークス,PRCG20_2600550008,原料炭,コークスの主原料
PRCG20_1200650011,石炭コークス,PRCG20_2600550009,一般炭,補助燃料炭
PRCG20_1200650011,石炭コークス,PRCG20_1202250001,事業用電力,炉の用役電力
PRCG20_1200650012,舗装材料,PRCG20_1200650009,アスファルト,結合材
PRCG20_1200650012,舗装材料,PRCG20_1202150003,砕石,骨材
PRCG20_1200650012,舗装材料,PRCG20_1202150002,砂利,骨材
PRCG20_1200750001,プラスチック板,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750001,プラスチック板,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750001,プラスチック板,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750001,プラスチック板,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750001,プラスチック板,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750002,プラスチック管,PRCG20_1200550025,塩化ビニル樹脂,主原料
PRCG20_1200750002,プラスチック管,PRCG20_1200550022,ポリエチレン,PE管原料
PRCG20_1200750002,プラスチック管,PRCG20_1202250001,事業用電力,押出の電力
PRCG20_1200750003,プラスチック継手,PRCG20_1200550025,塩化ビニル樹脂,主原料
PRCG20_1200750003,プラスチック継手,PRCG20_1200550022,ポリエチレン,PE原料
PRCG20_1200750003,プラスチック継手,PRCG20_1202250001,事業用電力,成形の電力
PRCG20_1200750004,プラスチック雨どい,PRCG20_1200550025,塩化ビニル樹脂,主原料
PRCG20_1200750004,プラスチック雨どい,PRCG20_1202250001,事業用電力,押出の電力
PRCG20_1200750004,プラスチック雨どい,PRCG20_1200550003,無機顔料,着色材
PRCG20_1200750005,プラスチックフィルム・シート,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750005,プラスチックフィルム・シート,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750005,プラスチックフィルム・シート,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750005,プラスチックフィルム・シート,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750005,プラスチックフィルム・シート,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750006,プラスチック床材,PRCG20_1200550025,塩化ビニル樹脂,主原料
PRCG20_1200750006,プラスチック床材,PRCG20_1200550003,無機顔料,着色材
PRCG20_1200750006,プラスチック床材,PRCG20_1202250001,事業用電力,成形の電力
PRCG20_1200750007,合成皮革,PRCG20_1200550025,塩化ビニル樹脂,表皮樹脂
PRCG20_1200750007,合成皮革,PRCG20_1200250002,織物,基布
PRCG20_1200750007,合成皮革,PRCG20_1200550027,飽和ポリエステル樹脂,PU系原料
PRCG20_1200750008,電気機器用プラスチック製品,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750008,電気機器用プラスチック製品,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750008,電気機器用プラスチック製品,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750008,電気機器用プラスチック製品,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750008,電気機器用プラスチック製品,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750009,輸送機械用プラスチック製品,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750009,輸送機械用プラスチック製品,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750009,輸送機械用プラスチック製品,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750009,輸送機械用プラスチック製品,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750009,輸送機械用プラスチック製品,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750010,軟質プラスチック発泡製品,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750010,軟質プラスチック発泡製品,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750010,軟質プラスチック発泡製品,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750010,軟質プラスチック発泡製品,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750010,軟質プラスチック発泡製品,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750011,硬質プラスチック発泡製品,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750011,硬質プラスチック発泡製品,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750011,硬質プラスチック発泡製品,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750011,硬質プラスチック発泡製品,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750011,硬質プラスチック発泡製品,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750012,強化プラスチック管板類,PRCG20_1200550021,熱硬化性樹脂,マトリックス樹脂
PRCG20_1200750012,強化プラスチック管板類,PRCG20_1200850005,ガラス繊維・同製品,強化繊維
PRCG20_1200750012,強化プラスチック管板類,PRCG20_1202250001,事業用電力,成形の電力
PRCG20_1200750013,再生プラスチック成形材料,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750013,再生プラスチック成形材料,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750013,再生プラスチック成形材料,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750013,再生プラスチック成形材料,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750013,再生プラスチック成形材料,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750014,プラスチック製日用品,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750014,プラスチック製日用品,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750014,プラスチック製日用品,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750014,プラスチック製日用品,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750014,プラスチック製日用品,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750015,プラスチック製中空成形容器,PRCG20_1200550022,ポリエチレン,主原料
PRCG20_1200750015,プラスチック製中空成形容器,PRCG20_1200550027,飽和ポリエステル樹脂,PET原料
PRCG20_1200750015,プラスチック製中空成形容器,PRCG20_1202250001,事業用電力,成形の電力
PRCG20_1200750016,飲料用プラスチックボトル,PRCG20_1200550027,飽和ポリエステル樹脂,PET樹脂原料
PRCG20_1200750016,飲料用プラスチックボトル,PRCG20_1202250001,事業用電力,成形の電力
PRCG20_1200750016,飲料用プラスチックボトル,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750017,プラスチック製容器（除中空成形）,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750017,プラスチック製容器（除中空成形）,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750017,プラスチック製容器（除中空成形）,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750017,プラスチック製容器（除中空成形）,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750017,プラスチック製容器（除中空成形）,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200750018,医療・衛生用プラスチック製品,PRCG20_1200550022,ポリエチレン,汎用樹脂原料
PRCG20_1200750018,医療・衛生用プラスチック製品,PRCG20_1200550024,ポリプロピレン,汎用樹脂原料
PRCG20_1200750018,医療・衛生用プラスチック製品,PRCG20_1200550025,塩化ビニル樹脂,塩ビ系原料
PRCG20_1200750018,医療・衛生用プラスチック製品,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200750018,医療・衛生用プラスチック製品,PRCG20_1202250001,事業用電力,成形工程の電力
PRCG20_1200850001,板ガラス,PRCG20_1200550002,ソーダ工業製品,ソーダ灰原料
PRCG20_1200850001,板ガラス,PRCG20_1200650007,Ｂ重油・Ｃ重油,溶解炉燃料
PRCG20_1200850001,板ガラス,PRCG20_2600550011,液化天然ガス,溶解炉燃料
PRCG20_1200850001,板ガラス,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200850002,合わせガラス,PRCG20_1200850001,板ガラス,母材ガラス
PRCG20_1200850002,合わせガラス,PRCG20_1200750005,プラスチックフィルム・シート,中間膜
PRCG20_1200850002,合わせガラス,PRCG20_1202250001,事業用電力,加工の電力
PRCG20_1200850003,強化ガラス,PRCG20_1200850001,板ガラス,母材ガラス
PRCG20_1200850003,強化ガラス,PRCG20_1202250001,事業用電力,強化炉の電力
PRCG20_1200850003,強化ガラス,PRCG20_1202250002,都市ガス,加熱燃料
PRCG20_1200850004,複層ガラス,PRCG20_1200850001,板ガラス,母材ガラス
PRCG20_1200850004,複層ガラス,PRCG20_1201050013,アルミ圧延製品,スペーサ材
PRCG20_1200850004,複層ガラス,PRCG20_1200550046,接着剤,封着材
PRCG20_1200850005,ガラス繊維・同製品,PRCG20_1200550002,ソーダ工業製品,ガラス原料
PRCG20_1200850005,ガラス繊維・同製品,PRCG20_1202250001,事業用電力,溶融の電力
PRCG20_1200850005,ガラス繊維・同製品,PRCG20_1202250002,都市ガス,溶融炉燃料
PRCG20_1200850006,ガラス製加工素材,PRCG20_1200550002,ソーダ工業製品,ガラス原料
PRCG20_1200850006,ガラス製加工素材,PRCG20_1202250002,都市ガス,溶融炉燃料
PRCG20_1200850006,ガラス製加工素材,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200850006,ガラス製加工素材,PRCG20_1202350001,古紙,梱包材経由（軽微）
PRCG20_1200850007,ガラス容器,PRCG20_1200550002,ソーダ工業製品,ガラス原料
PRCG20_1200850007,ガラス容器,PRCG20_1202250002,都市ガス,溶融炉燃料
PRCG20_1200850007,ガラス容器,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200850007,ガラス容器,PRCG20_1202350001,古紙,梱包材経由（軽微）
PRCG20_1200850008,ポルトランドセメント,PRCG20_1202150004,石灰石,主原料
PRCG20_1200850008,ポルトランドセメント,PRCG20_2600550009,一般炭,キルン燃料
PRCG20_1200850008,ポルトランドセメント,PRCG20_1202250001,事業用電力,粉砕の電力
PRCG20_1200850009,高炉セメント,PRCG20_1202150004,石灰石,主原料
PRCG20_1200850009,高炉セメント,PRCG20_2600550009,一般炭,キルン燃料
PRCG20_1200850009,高炉セメント,PRCG20_1202250001,事業用電力,粉砕の電力
PRCG20_1200850010,生コンクリート,PRCG20_1200850008,ポルトランドセメント,結合材
PRCG20_1200850010,生コンクリート,PRCG20_1202150002,砂利,骨材
PRCG20_1200850010,生コンクリート,PRCG20_1202150003,砕石,骨材
PRCG20_1200850010,生コンクリート,PRCG20_1200650005,軽油,ミキサー車燃料
PRCG20_1200850011,コンクリート管・ポール・パイル,PRCG20_1200850008,ポルトランドセメント,結合材
PRCG20_1200850011,コンクリート管・ポール・パイル,PRCG20_1200950003,小形棒鋼,補強鉄筋
PRCG20_1200850011,コンクリート管・ポール・パイル,PRCG20_1202150002,砂利,骨材
PRCG20_1200850011,コンクリート管・ポール・パイル,PRCG20_1202150003,砕石,骨材
PRCG20_1200850012,コンクリートブロック,PRCG20_1200850008,ポルトランドセメント,結合材
PRCG20_1200850012,コンクリートブロック,PRCG20_1200950003,小形棒鋼,補強鉄筋
PRCG20_1200850012,コンクリートブロック,PRCG20_1202150002,砂利,骨材
PRCG20_1200850012,コンクリートブロック,PRCG20_1202150003,砕石,骨材
PRCG20_1200850013,道路用コンクリート製品,PRCG20_1200850008,ポルトランドセメント,結合材
PRCG20_1200850013,道路用コンクリート製品,PRCG20_1200950003,小形棒鋼,補強鉄筋
PRCG20_1200850013,道路用コンクリート製品,PRCG20_1202150002,砂利,骨材
PRCG20_1200850013,道路用コンクリート製品,PRCG20_1202150003,砕石,骨材
PRCG20_1200850014,プレストレストコンクリート製品,PRCG20_1200850008,ポルトランドセメント,結合材
PRCG20_1200850014,プレストレストコンクリート製品,PRCG20_1200950003,小形棒鋼,補強鉄筋
PRCG20_1200850014,プレストレストコンクリート製品,PRCG20_1202150002,砂利,骨材
PRCG20_1200850014,プレストレストコンクリート製品,PRCG20_1202150003,砕石,骨材
PRCG20_1200850015,窯業外装材,PRCG20_1200850008,ポルトランドセメント,結合材
PRCG20_1200850015,窯業外装材,PRCG20_1200950003,小形棒鋼,補強鉄筋
PRCG20_1200850015,窯業外装材,PRCG20_1202150002,砂利,骨材
PRCG20_1200850015,窯業外装材,PRCG20_1202150003,砕石,骨材
PRCG20_1200850016,気泡コンクリート製品,PRCG20_1200850008,ポルトランドセメント,結合材
PRCG20_1200850016,気泡コンクリート製品,PRCG20_1200950003,小形棒鋼,補強鉄筋
PRCG20_1200850016,気泡コンクリート製品,PRCG20_1202150002,砂利,骨材
PRCG20_1200850016,気泡コンクリート製品,PRCG20_1202150003,砕石,骨材
PRCG20_1200850017,衛生陶器,PRCG20_1202250001,事業用電力,焼成の電力
PRCG20_1200850017,衛生陶器,PRCG20_1202250002,都市ガス,焼成炉燃料
PRCG20_1200850017,衛生陶器,PRCG20_1200650010,液化石油ガス,焼成炉燃料
PRCG20_1200850018,陶磁器製食器,PRCG20_1202250001,事業用電力,焼成の電力
PRCG20_1200850018,陶磁器製食器,PRCG20_1202250002,都市ガス,焼成炉燃料
PRCG20_1200850018,陶磁器製食器,PRCG20_1200650010,液化石油ガス,焼成炉燃料
PRCG20_1200850019,電気用陶磁器,PRCG20_1202250001,事業用電力,焼成の電力
PRCG20_1200850019,電気用陶磁器,PRCG20_1202250002,都市ガス,焼成炉燃料
PRCG20_1200850019,電気用陶磁器,PRCG20_1200650010,液化石油ガス,焼成炉燃料
PRCG20_1200850020,耐火物,PRCG20_1202250001,事業用電力,焼成の電力
PRCG20_1200850020,耐火物,PRCG20_2600550009,一般炭,焼成燃料
PRCG20_1200850020,耐火物,PRCG20_1202150004,石灰石,塩基性原料
PRCG20_1200850021,石こうボード・粘土かわら,PRCG20_1202350001,古紙,ボード原紙の原料
PRCG20_1200850021,石こうボード・粘土かわら,PRCG20_1202250001,事業用電力,焼成・乾燥の電力
PRCG20_1200850021,石こうボード・粘土かわら,PRCG20_1200650007,Ｂ重油・Ｃ重油,乾燥燃料
PRCG20_1200850022,炭素・黒鉛製品,PRCG20_2600550007,石油コークス,主原料
PRCG20_1200850022,炭素・黒鉛製品,PRCG20_1202250001,事業用電力,黒鉛化の大量電力
PRCG20_1200850022,炭素・黒鉛製品,PRCG20_2600550008,原料炭,ピッチ原料
PRCG20_1200850023,研磨材,PRCG20_1202250001,事業用電力,電気炉の電力
PRCG20_1200850023,研磨材,PRCG20_1200550002,ソーダ工業製品,原料アルカリ
PRCG20_1200850023,研磨材,PRCG20_2600550009,一般炭,還元剤
PRCG20_1200850024,石工品,PRCG20_2601050011,石工品,輸入石材半製品
PRCG20_1200850024,石工品,PRCG20_1202150003,砕石,石材原料
PRCG20_1200850024,石工品,PRCG20_1202250001,事業用電力,切削・研磨の電力
PRCG20_1200850025,生石灰,PRCG20_1202150004,石灰石,主原料
PRCG20_1200850025,生石灰,PRCG20_2600550009,一般炭,焼成燃料
PRCG20_1200850025,生石灰,PRCG20_1200650007,Ｂ重油・Ｃ重油,焼成燃料
PRCG20_1200950001,フェロマンガン,PRCG20_1202250001,事業用電力,電炉の大量電力
PRCG20_1200950001,フェロマンガン,PRCG20_2600550008,原料炭,還元剤
PRCG20_1200950001,フェロマンガン,PRCG20_2600350024,鉄鉱石,鉄源
PRCG20_1200950002,形鋼,PRCG20_2600350024,鉄鉱石,高炉の主原料
PRCG20_1200950002,形鋼,PRCG20_2600550008,原料炭,高炉の還元剤
PRCG20_1200950002,形鋼,PRCG20_1202350002,鉄屑,電炉の主原料
PRCG20_1200950002,形鋼,PRCG20_1200950001,フェロマンガン,成分調整の合金鉄
PRCG20_1200950002,形鋼,PRCG20_1202250001,事業用電力,圧延・電炉の電力
PRCG20_1200950003,小形棒鋼,PRCG20_2600350024,鉄鉱石,高炉の主原料
PRCG20_1200950003,小形棒鋼,PRCG20_2600550008,原料炭,高炉の還元剤
PRCG20_1200950003,小形棒鋼,PRCG20_1202350002,鉄屑,電炉の主原料
PRCG20_1200950003,小形棒鋼,PRCG20_1200950001,フェロマンガン,成分調整の合金鉄
PRCG20_1200950003,小形棒鋼,PRCG20_1202250001,事業用電力,圧延・電炉の電力
PRCG20_1200950004,線材,PRCG20_2600350024,鉄鉱石,高炉の主原料
PRCG20_1200950004,線材,PRCG20_2600550008,原料炭,高炉の還元剤
PRCG20_1200950004,線材,PRCG20_1202350002,鉄屑,電炉の主原料
PRCG20_1200950004,線材,PRCG20_1200950001,フェロマンガン,成分調整の合金鉄
PRCG20_1200950004,線材,PRCG20_1202250001,事業用電力,圧延・電炉の電力
PRCG20_1200950005,厚中板,PRCG20_2600350024,鉄鉱石,高炉の主原料
PRCG20_1200950005,厚中板,PRCG20_2600550008,原料炭,高炉の還元剤
PRCG20_1200950005,厚中板,PRCG20_1202350002,鉄屑,電炉の主原料
PRCG20_1200950005,厚中板,PRCG20_1200950001,フェロマンガン,成分調整の合金鉄
PRCG20_1200950005,厚中板,PRCG20_1202250001,事業用電力,圧延・電炉の電力
PRCG20_1200950006,熱延広幅帯鋼,PRCG20_2600350024,鉄鉱石,高炉の主原料
PRCG20_1200950006,熱延広幅帯鋼,PRCG20_2600550008,原料炭,高炉の還元剤
PRCG20_1200950006,熱延広幅帯鋼,PRCG20_1202350002,鉄屑,電炉の主原料
PRCG20_1200950006,熱延広幅帯鋼,PRCG20_1200950001,フェロマンガン,成分調整の合金鉄
PRCG20_1200950006,熱延広幅帯鋼,PRCG20_1202250001,事業用電力,圧延・電炉の電力
PRCG20_1200950007,工具鋼,PRCG20_1202350002,鉄屑,電炉原料
PRCG20_1200950007,工具鋼,PRCG20_2600350027,モリブデン鉱,合金元素
PRCG20_1200950007,工具鋼,PRCG20_1200950001,フェロマンガン,成分調整
PRCG20_1200950007,工具鋼,PRCG20_1202250001,事業用電力,電炉の電力
PRCG20_1200950008,機械構造用炭素鋼,PRCG20_2600350024,鉄鉱石,高炉の主原料
PRCG20_1200950008,機械構造用炭素鋼,PRCG20_2600550008,原料炭,高炉の還元剤
PRCG20_1200950008,機械構造用炭素鋼,PRCG20_1202350002,鉄屑,電炉の主原料
PRCG20_1200950008,機械構造用炭素鋼,PRCG20_1200950001,フェロマンガン,成分調整の合金鉄
PRCG20_1200950008,機械構造用炭素鋼,PRCG20_1202250001,事業用電力,圧延・電炉の電力
PRCG20_1200950009,構造用合金鋼,PRCG20_1202350002,鉄屑,電炉原料
PRCG20_1200950009,構造用合金鋼,PRCG20_2600350024,鉄鉱石,高炉原料
PRCG20_1200950009,構造用合金鋼,PRCG20_2600550008,原料炭,還元剤
PRCG20_1200950009,構造用合金鋼,PRCG20_2600350027,モリブデン鉱,合金元素
PRCG20_1200950009,構造用合金鋼,PRCG20_1202250001,事業用電力,電炉の電力
PRCG20_1200950010,特殊用途鋼,PRCG20_1202350002,鉄屑,電炉原料
PRCG20_1200950010,特殊用途鋼,PRCG20_2600350017,ニッケル地金,ステンレスの合金元素
PRCG20_1200950010,特殊用途鋼,PRCG20_2600350002,フェロクロム,クロム源
PRCG20_1200950010,特殊用途鋼,PRCG20_1202250001,事業用電力,電炉の電力
PRCG20_1200950011,普通鋼鋼管,PRCG20_1200950006,熱延広幅帯鋼,電縫管の母材
PRCG20_1200950011,普通鋼鋼管,PRCG20_1200950005,厚中板,大径管の母材
PRCG20_1200950011,普通鋼鋼管,PRCG20_1202350002,鉄屑,電炉鋼経由の鉄源
PRCG20_1200950012,ステンレス鋼管,PRCG20_1200950016,ステンレス冷延鋼板,造管母材
PRCG20_1200950012,ステンレス鋼管,PRCG20_2600350017,ニッケル地金,合金元素
PRCG20_1200950012,ステンレス鋼管,PRCG20_2600350002,フェロクロム,クロム源
PRCG20_1200950013,冷延広幅帯鋼,PRCG20_1200950006,熱延広幅帯鋼,冷延の母材
PRCG20_1200950013,冷延広幅帯鋼,PRCG20_1200950004,線材,伸線の母材
PRCG20_1200950013,冷延広幅帯鋼,PRCG20_1202250001,事業用電力,圧延の電力
PRCG20_1200950014,冷延電気鋼帯,PRCG20_1200950006,熱延広幅帯鋼,母材
PRCG20_1200950014,冷延電気鋼帯,PRCG20_2600350003,フェロシリコン,電磁鋼板のけい素源
PRCG20_1200950014,冷延電気鋼帯,PRCG20_1202250001,事業用電力,圧延の電力
PRCG20_1200950015,軽量形鋼,PRCG20_1200950006,熱延広幅帯鋼,冷延の母材
PRCG20_1200950015,軽量形鋼,PRCG20_1200950004,線材,伸線の母材
PRCG20_1200950015,軽量形鋼,PRCG20_1202250001,事業用電力,圧延の電力
PRCG20_1200950016,ステンレス冷延鋼板,PRCG20_2600350017,ニッケル地金,合金元素
PRCG20_1200950016,ステンレス冷延鋼板,PRCG20_2600350002,フェロクロム,クロム源
PRCG20_1200950016,ステンレス冷延鋼板,PRCG20_1202350002,鉄屑,電炉原料
PRCG20_1200950016,ステンレス冷延鋼板,PRCG20_1202250001,事業用電力,電炉・圧延の電力
